datetime,player,channel,message
2026-01-09 11:08:50,UptimeLabs,online-boutique-7345,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2026-01-09 11:09:26,PLAYER,online-boutique-7345,Clicked undefined button
2026-01-09 11:09:28,PLAYER,online-boutique-7345,Clicked org button
2026-01-09 11:09:29,PLAYER,online-boutique-7345,Clicked undefined button
2026-01-09 11:10:53,PLAYER,online-boutique-7345,Clicked Start button
2026-01-09 11:10:55,Bob,online-boutique-7345,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-01-09 11:11:02,Bob,online-boutique-7345,This is strange
2026-01-09 11:11:08,Bob,online-boutique-7345,Just seen a couple of reports of customers not receiving the right item on delivery
2026-01-09 11:11:13,Tinus,online-boutique-7345,Hmm? that sounds strange. @venkat.raopotala can you take point and start sizing this up?
2026-01-09 11:11:21,PLAYER,online-boutique-7345,Taking role on incident commander
2026-01-09 11:11:24,UptimeLabs,online-boutique-7345,:star: Take command
2026-01-09 11:11:52,PLAYER,online-boutique-7345,Bob what is the customer experience and what is the % for customers impacted?
2026-01-09 11:11:55,UptimeLabs,online-boutique-7345,:star: Asking questions to validate impact of the problem
2026-01-09 11:12:02,Bob,online-boutique-7345,Checking reports...
2026-01-09 11:12:26,Bob,online-boutique-7345,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-01-09 11:12:37,Bob,online-boutique-7345,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-01-09 11:12:42,Bob,online-boutique-7345,We have currently got more than 17 complaints so far
2026-01-09 11:12:47,PLAYER,online-boutique-7345,It happened with what % of customers
2026-01-09 11:13:16,PLAYER,online-boutique-7345,sev2: Customer not receiving the right product
2026-01-09 11:13:16,UptimeLabs,online-boutique-7345,:star: Incident record created
2026-01-09 11:13:16,PLAYER,business-comms-7345,*Incident Number INC100018:* sev2: Customer not receiving the right product
2026-01-09 11:13:24,Bob,online-boutique-7345,Still checking this
2026-01-09 11:13:25,Bez,business-comms-7345,How big is this problem?
2026-01-09 11:13:26,UptimeLabs,online-boutique-7345,:star: Qualify the problem
2026-01-09 11:14:01,Shay,online-boutique-7345,I dont see any issues with the orders
2026-01-09 11:14:07,PLAYER,business-comms-7345,"17 Customer impacted so far and investigating the root cause of the incident, next update in 5 minutes"
2026-01-09 11:14:17,UptimeLabs,online-boutique-7345,:star: Track actions and time box them
2026-01-09 11:14:17,Shay,online-boutique-7345,Do we know where exactly is the problem ?
2026-01-09 11:14:39,Bob,online-boutique-7345,Gathering more information....
2026-01-09 11:14:40,PLAYER,online-boutique-7345,Daniel Shay could you please check the latest changes in the platform which could be related to this issue ?
2026-01-09 11:14:45,UptimeLabs,online-boutique-7345,:star: Check changes done to the platform
2026-01-09 11:14:46,Shay,online-boutique-7345,Here's the detailed info on each of the changes made today
2026-01-09 11:14:49,Shay,online-boutique-7345,Hope this helps:<https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE>
2026-01-09 11:15:01,Bob,online-boutique-7345,The customers are complaining that the image is not matching up with the product name
2026-01-09 11:15:11,Bob,online-boutique-7345,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-01-09 11:16:02,Bob,online-boutique-7345,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-01-09 11:16:22,Bob,online-boutique-7345,I'm receiving more cancellation/refund requests than new orders. @venkat.raopotala What shall we do now? 
2026-01-09 11:16:52,Bez,business-comms-7345,I'm concerned we might be doing more harm than good by letting the new orders continue... 
2026-01-09 11:17:23,Bob,online-boutique-7345,"Orders are still coming in high volume, and we now have 130+ customers asking to cancel their orders"
2026-01-09 11:17:48,PLAYER,online-boutique-7345,Bob from when the complaint started?
2026-01-09 11:18:21,Bob,online-boutique-7345,In last 2 hrs
2026-01-09 11:18:51,PLAYER,online-boutique-7345,"Bez What do you suggest, we should inform the customers in this case?"
2026-01-09 11:19:34,Bez,online-boutique-7345,Have you seen the issue on the website ?
