index,datetime,player,channel,message
0,09/10/2025 10:02,Bez,online-boutique-6250,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,09/10/2025 10:02,Bob,online-boutique-6250,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,09/10/2025 10:02,Tinus,online-boutique-6250,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,09/10/2025 10:02,Bez,online-boutique-6250,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
5,09/10/2025 10:05,player6,online-boutique-6250,Clicked Start button
7,09/10/2025 10:05,Shay,online-boutique-6250,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
8,09/10/2025 10:05,Bob,online-boutique-6250,Weird... a few users just complained they are unable to complete their orders. Feels... off..
9,09/10/2025 10:06,player6,online-boutique-6250,What errors are you seeing
10,09/10/2025 10:06,Shay,online-boutique-6250,Looking into logs now
11,09/10/2025 10:06,Bez,business-comms-6250,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @player6?
12,09/10/2025 10:06,player6,online-boutique-6250,Bob are the users all in the same region?
13,09/10/2025 10:06,Shay,online-boutique-6250,Found these below error logs
14,09/10/2025 10:06,Shay,online-boutique-6250,```\napp[checkout-service] [ERROR] - write() failed Read-only filesystem\napp[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error\napp[checkout-service] [ERROR] - Transaction commit failed Read-only file system\n[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service\n[ERROR] nginx
15,09/10/2025 10:06,Shay,online-boutique-6250,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
16,09/10/2025 10:06,Bob,online-boutique-6250,I will check that as well
17,09/10/2025 10:06,Daniel,online-boutique-6250,Looking at the above logs app looks fine. But system can't write new data. Errors suggests to be an infra component failure
18,09/10/2025 10:06,Daniel,online-boutique-6250,Also checkout servers show CPU and memory limits exceeded alerts this definitely looks bigger than just an app issue
19,09/10/2025 10:06,Daniel,online-boutique-6250,```app[checkout-service]: systemd[1]
20,09/10/2025 10:06,player6,online-boutique-6250,i'm not able to purchase an item
21,09/10/2025 10:07,Shay,online-boutique-6250,Could this be due to load or any changes ?
22,09/10/2025 10:07,player6,online-boutique-6250,it clears the basket after payment page
23,09/10/2025 10:07,Shay,online-boutique-6250,Same issue here
24,09/10/2025 10:07,player6,online-boutique-6250,sev 1
25,09/10/2025 10:07,player6,business-comms-6250,*Incident Number INC100084:* sev 1
28,09/10/2025 10:07,Bez,business-comms-6250,I'm seeing some posts on social media about issues with our platform is this a regional issue or hitting customers globally?
29,09/10/2025 10:07,Bob,online-boutique-6250,Sure let me look at my reports
30,09/10/2025 10:07,player6,business-comms-6250,yes we're looking into this i've asked bob
31,09/10/2025 10:07,Bob,online-boutique-6250,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe
32,09/10/2025 10:08,Bob,online-boutique-6250,"Germany - ""I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart"
33,09/10/2025 10:08,Bob,online-boutique-6250,"USA - ""Order failed twice and now the cart is empty. I refreshed but now the site is laggy"
34,09/10/2025 10:08,Bob,online-boutique-6250,"Japan - ""Got to checkout then error 502. Tried again - cart gone"
35,09/10/2025 10:08,Bob,online-boutique-6250,To sum it all we have got 240+ reports globally
36,09/10/2025 10:08,Bob,online-boutique-6250,Metrics
37,09/10/2025 10:08,player6,business-comms-6250,looks like its globally
38,09/10/2025 10:08,player6,online-boutique-6250,thanks ben
39,09/10/2025 10:08,player6,online-boutique-6250,can we start investigations asap
40,09/10/2025 10:08,Shay,online-boutique-6250,Perhaps this is change change-related issue. Here is the wiki of all changes made today <https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE>
41,09/10/2025 10:08,player6,online-boutique-6250,any changes go out recently?
42,09/10/2025 10:09,player6,online-boutique-6250,which one of those changes would affect the basket?
43,09/10/2025 10:09,Shay,online-boutique-6250,None of them would
44,09/10/2025 10:09,player6,online-boutique-6250,also Bob when did customers first start experiencing this?
45,09/10/2025 10:09,Shay,online-boutique-6250,but if you want we can look into changes
46,09/10/2025 10:09,player6,online-boutique-6250,Tanya can you support and look over your changes?
47,09/10/2025 10:10,Bob,online-boutique-6250,first report was submitted 5h ago
48,09/10/2025 10:10,player6,online-boutique-6250,same for you Daniel please
49,09/10/2025 10:10,Tanya,online-boutique-6250,I will do that and infra as well
50,09/10/2025 10:10,player6,online-boutique-6250,something changed 5h ago
51,09/10/2025 10:10,Tanya,online-boutique-6250,Checking infra...
52,09/10/2025 10:10,player6,online-boutique-6250,thanks tanya
53,09/10/2025 10:10,player6,business-comms-6250,we're checking the infrastructure
54,09/10/2025 10:10,Tanya,online-boutique-6250,All four checkout servers are maxed out - CPU memory and disk I/O all spiking. No changes or deployments were done from platform side
55,09/10/2025 10:10,Tanya,online-boutique-6250,ServerMetrics
56,09/10/2025 10:11,Tanya,online-boutique-6250,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic
57,09/10/2025 10:11,player6,online-boutique-6250,how can we reduce those
58,09/10/2025 10:11,Tanya,online-boutique-6250,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here
59,09/10/2025 10:11,Tanya,online-boutique-6250,ProcessRunning
60,09/10/2025 10:11,player6,online-boutique-6250,are we getting hit with DDoS?
61,09/10/2025 10:11,Daniel,online-boutique-6250,I don't think this is due to any changes because nothing matches the issue start time and no PROD deployments have happened in a while around cthe heckout service
62,09/10/2025 10:11,player6,online-boutique-6250,Hamed S can you support please we have a massive sale on going
63,09/10/2025 10:11,Tanya,online-boutique-6250,These symptoms are very unusual. We should think of getting SecOps here now
64,09/10/2025 10:11,player6,online-boutique-6250,and losing money
65,09/10/2025 10:12,Hamed,online-boutique-6250,I'm here
66,09/10/2025 10:12,player6,online-boutique-6250,yes Maya can you support
67,09/10/2025 10:12,Hamed,online-boutique-6250,That script is worrying me. I have never seen this before
68,09/10/2025 10:12,Maya,online-boutique-6250,Let me check if there's anything suspicious
69,09/10/2025 10:12,player6,online-boutique-6250,thank you
70,09/10/2025 10:12,Bez,business-comms-6250,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly I get these hoax emails all the time so I'm not buying it"
71,09/10/2025 10:12,Maya,online-boutique-6250,Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning
72,09/10/2025 10:12,Maya,online-boutique-6250,```EDR is basically our endpoint defense tool it tracks unusual activity at the servers```
73,09/10/2025 10:12,Maya,online-boutique-6250,AlsoI found an init_locker.sh script encrypting DB app and log files which is renaming the filename like below
74,09/10/2025 10:12,Maya,online-boutique-6250,```\norder_log_2025-06-01.locked\nsession_state.tmp.locked```
75,09/10/2025 10:12,Hamed,online-boutique-6250,I will continue investigating
76,09/10/2025 10:12,player6,business-comms-6250,That might be the cause of this
77,09/10/2025 10:13,Daniel,online-boutique-6250,this explains why there were errors in checkout logs saying write failed  read-only filesystem
78,09/10/2025 10:13,player6,business-comms-6250,might be a secuirty incident
79,09/10/2025 10:13,Tanya,online-boutique-6250,Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it appears a ransom note. This doesn't look good
80,09/10/2025 10:13,Tanya,online-boutique-6250,help_me_decrypt
81,09/10/2025 10:13,Maya,online-boutique-6250,Confirmed. This is a ransomware breach. @player6 inform business about this
