datetime,player,channel,message
2026-04-08 10:02:34,uptimelabs,online-boutique-8348,"Welcome to Once Upon a Time in Production, the responsibility is on you to size up the problem.

*Access game links by pressing the Uptime Labs Logo in the top right of the screen*
*Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-08 10:04:45,bob,online-boutique-8348,"Hey Everyone just in, customers are reporting the site images are not appearing, is this true?."
2026-04-08 10:05:11,PLAYER,online-boutique-8348,Just checked and all looks good for me 
2026-04-08 10:05:13,uptimelabs,online-boutique-8348,:star: Attempt to replicate the issue
2026-04-08 10:05:15,daniel,online-boutique-8348,"I'm still seeing some product images missing, like the mug and sunglasses, so it might be intermittent."
2026-04-08 10:05:17,PLAYER,online-boutique-8348,i'm also able to purchase
2026-04-08 10:05:21,bob,online-boutique-8348,"Customers can technically check out, but we're seeing a 15-20% drop in conversions since the image issue started."
2026-04-08 10:05:38,PLAYER,online-boutique-8348,yep i can't see some items now too
2026-04-08 10:05:40,bob,online-boutique-8348,"checking reports, let me get back to you on what customers are saying"
2026-04-08 10:05:41,uptimelabs,online-boutique-8348,:star: Reproduces the incident
2026-04-08 10:05:47,PLAYER,online-boutique-8348,creating an incident
2026-04-08 10:06:01,PLAYER,online-boutique-8348,
2026-04-08 10:06:01,uptimelabs,business-comms-8348,*Incident Number INC1018:* P2 15-20% drop in conversions
2026-04-08 10:06:10,bob,online-boutique-8348,"From what we can tell, the site isn't fully down. Customers can load pages and navigate categories, but something feels off visually"
2026-04-08 10:06:17,PLAYER,online-boutique-8348,When did this start?
2026-04-08 10:06:27,bob,online-boutique-8348,A few people mentioned pages look “incomplete” or “not finished loading”
2026-04-08 10:06:29,PLAYER,online-boutique-8348,any releases that could have caused this? shay 
2026-04-08 10:06:43,bob,online-boutique-8348,"We're getting multiple reports of missing product images, broken icons, and some customers say the site looks unprofessional or untrustworthy."
2026-04-08 10:06:45,bob,online-boutique-8348,Some customers are confused and think products are out of stock because images aren't loading.
2026-04-08 10:06:46,bez,business-comms-8348,Which regions are affected and how many customers/orders does this impact in real terms?
2026-04-08 10:06:47,uptimelabs,online-boutique-8348,:star: Asking questions to validate impact of the problem
2026-04-08 10:06:48,PLAYER,online-boutique-8348,tanya can you also have a look too
2026-04-08 10:06:48,uptimelabs,online-boutique-8348,:star: Check changes done to the platform
2026-04-08 10:06:49,daniel,online-boutique-8348,Checking recent changes...
2026-04-08 10:07:28,PLAYER,online-boutique-8348,Which regions are affected and how many customers/orders does this impact in real terms?
2026-04-08 10:07:29,daniel,online-boutique-8348,I did deploy a chaos test for ProductCatalogueService earlier.
2026-04-08 10:07:36,daniel,online-boutique-8348,But that's UAT only — nothing in prod.
2026-04-08 10:07:41,daniel,online-boutique-8348,Also added some extra logging in checkout.
2026-04-08 10:07:46,daniel,online-boutique-8348,"Just log fields, shouldn't affect performance."
2026-04-08 10:07:53,shay,online-boutique-8348,I pushed a small frontend UI tweak earlier.
2026-04-08 10:08:00,shay,online-boutique-8348,Loading animation + accessibility stuff.
2026-04-08 10:08:06,shay,online-boutique-8348,No backend or infra changes.
2026-04-08 10:08:12,daniel,online-boutique-8348,Checking application logs now…
2026-04-08 10:08:20,PLAYER,online-boutique-8348,What is the downside of rolling back those 2 changes to rule out?
2026-04-08 10:08:48,PLAYER,online-boutique-8348,bob Which regions are affected and how many customers/orders does this impact in real terms?
2026-04-08 10:08:52,daniel,online-boutique-8348,Seeing a huge spike in requests hitting ProductCatalogueService.
2026-04-08 10:08:55,PLAYER,business-comms-8348,getting that info now
2026-04-08 10:09:00,daniel,online-boutique-8348,WARN [ProductCatalogueService] Request timed out after 3000ms path=/productCatalogue method=GET
2026-04-08 10:09:11,shay,online-boutique-8348,Seeing slow dependency calls too.
2026-04-08 10:09:15,shay,online-boutique-8348,WARN [ProductCatalogueService] Slow response from downstream dependency latency=1800ms
2026-04-08 10:09:18,PLAYER,online-boutique-8348,Customers must be spamming the products
2026-04-08 10:09:26,PLAYER,online-boutique-8348,can we scale anything up ?
2026-04-08 10:09:27,daniel,online-boutique-8348,PCS pod CPU is extremely high right now.
2026-04-08 10:09:33,daniel,online-boutique-8348,"Service isn't crashing, but it's clearly struggling to keep up."
2026-04-08 10:09:36,bob,online-boutique-8348,Looks to be a global issue
2026-04-08 10:09:43,tanya,online-boutique-8348,"Checking infra now, give me a moment."
2026-04-08 10:10:01,PLAYER,online-boutique-8348,How many customers or orders does this impact? bob 
2026-04-08 10:10:10,PLAYER,business-comms-8348,Looks like it's a global issue
2026-04-08 10:10:23,tanya,online-boutique-8348,Seeing a lot more traffic reaching backend services than usual.
