datetime,player,channel,message
2026-04-08 11:12:45,uptimelabs,online-boutique-8350,"Welcome to Once Upon a Time in Production, the responsibility is on you to size up the problem.

*Access game links by pressing the Uptime Labs Logo in the top right of the screen*
*Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-08 11:13:07,bob,online-boutique-8350,"Hey Everyone just in, customers are reporting the site images are not appearing, is this true?."
2026-04-08 11:13:19,PLAYER,online-boutique-8350,Hey Bob let me check
2026-04-08 11:13:23,bob,online-boutique-8350,"Sure, let me know what you find—customers are saying product images aren't showing up and some pages look broken."
2026-04-08 11:13:37,PLAYER,online-boutique-8350,/help
2026-04-08 11:13:42,bob,online-boutique-8350,Let me know if you need any details on customer impact or support tickets—reports are still coming in about missing images.
2026-04-08 11:14:08,PLAYER,online-boutique-8350,I get a server error
2026-04-08 11:14:10,uptimelabs,online-boutique-8350,:star: Reproduces the incident
2026-04-08 11:14:12,shay,online-boutique-8350,"I'm also seeing some images fail to load with errors, like the mug and sunglasses."
2026-04-08 11:14:43,PLAYER,online-boutique-8350,"I can see all, let me click on something"
2026-04-08 11:14:47,daniel,online-boutique-8350,"When I click around, some images like the mug and sunglasses aren't loading for me either."
2026-04-08 11:15:22,PLAYER,online-boutique-8350,Ah yes some images are not there. Was there a deployment?
2026-04-08 11:15:24,daniel,online-boutique-8350,Checking recent changes...
2026-04-08 11:15:24,uptimelabs,online-boutique-8350,:star: Check changes done to the platform
2026-04-08 11:15:57,PLAYER,online-boutique-8350,there were some product catalog UAT deployments
2026-04-08 11:16:04,daniel,online-boutique-8350,I did deploy a chaos test for ProductCatalogueService earlier.
2026-04-08 11:16:11,daniel,online-boutique-8350,But that's UAT only — nothing in prod.
2026-04-08 11:16:16,daniel,online-boutique-8350,Also added some extra logging in checkout.
2026-04-08 11:16:21,daniel,online-boutique-8350,"Just log fields, shouldn't affect performance."
2026-04-08 11:16:28,shay,online-boutique-8350,I pushed a small frontend UI tweak earlier.
2026-04-08 11:16:33,shay,online-boutique-8350,Loading animation + accessibility stuff.
2026-04-08 11:16:39,shay,online-boutique-8350,No backend or infra changes.
2026-04-08 11:16:47,tanya,online-boutique-8350,"Confirmed: the chaos test and other ProductCatalogueService changes are only live in UAT, not production."
2026-04-08 11:17:01,PLAYER,online-boutique-8350,"lets rollback those to start with, just in case. I am raising a sev2"
2026-04-08 11:17:04,uptimelabs,online-boutique-8350,:star: Restoration over root cause analysis
2026-04-08 11:17:07,tanya,online-boutique-8350,"Understood, I'll start rolling back the recent ProductCatalogueService changes in UAT now."
2026-04-08 11:17:16,tanya,online-boutique-8350,"Please note, these changes were not deployed to production, so this rollback shouldn't affect the live site."
2026-04-08 11:17:31,PLAYER,online-boutique-8350,
2026-04-08 11:17:32,uptimelabs,business-comms-8350,*Incident Number INC1071:* SEV2 some images not returning
2026-04-08 11:17:33,hamed,online-boutique-8350,"Just to confirm, there have been no recent changes to the image delivery pipeline or related infrastructure on the platform side."
2026-04-08 11:17:35,bez,business-comms-8350,Which regions are affected by this image issue?
2026-04-08 11:17:49,PLAYER,business-comms-8350,Looks like all of them but let me check
2026-04-08 11:18:02,PLAYER,online-boutique-8350,Bob is everyone affected by this issue?
2026-04-08 11:18:05,bob,online-boutique-8350,"checking reports, let me get back to you on what customers are saying"
2026-04-08 11:18:05,uptimelabs,online-boutique-8350,:star: Asking questions to validate impact of the problem
2026-04-08 11:18:25,PLAYER,online-boutique-8350,Hamed do we have a special repository for these images
2026-04-08 11:18:35,bob,online-boutique-8350,"From what we can tell, the site isn't fully down. Customers can load pages and navigate categories, but something feels off visually"
2026-04-08 11:18:56,bob,online-boutique-8350,A few people mentioned pages look “incomplete” or “not finished loading”
2026-04-08 11:19:03,PLAYER,online-boutique-8350,Yes I tried and can click on the faulty image and still managed to progress
2026-04-08 11:19:08,uptimelabs,online-boutique-8350,:star: Attempt to replicate the issue
2026-04-08 11:19:09,shay,online-boutique-8350,Hamed is currently out of office but should be available very shortly; I can check our documentation in the meantime.
2026-04-08 11:19:11,bob,online-boutique-8350,double checking reports....
2026-04-08 11:19:34,bez,business-comms-8350,I need to know how many customers or orders are impacted—give me numbers.
2026-04-08 11:19:40,PLAYER,online-boutique-8350,thanks. Can I also get Maya and Tanya to review any possible issue
2026-04-08 11:19:41,bob,online-boutique-8350,Getting over 100 reports so far on this
2026-04-08 11:19:47,bob,online-boutique-8350,"Looks like the common thread is that product images are not loading, and customers are seeing broken image icons instead. This is consistent across browsers"
2026-04-08 11:19:59,PLAYER,online-boutique-8350,from everywhere? any specific location?
2026-04-08 11:20:10,bob,online-boutique-8350,Definitely a global issue
2026-04-08 11:20:18,maya,online-boutique-8350,I'll review the CDN and image storage logs for any anomalies.
2026-04-08 11:20:25,tanya,online-boutique-8350,I'll double-check the ProductCatalogueService endpoints and error rates for anything unusual.
2026-04-08 11:20:25,PLAYER,online-boutique-8350,thank you
2026-04-08 11:20:28,bob,online-boutique-8350,"Reports are coming in from all regions, so this appears to be a global issue rather than regional."
2026-04-08 11:20:32,bob,online-boutique-8350,Let us know if you need more updates or a summary for leadership.
2026-04-08 11:20:39,PLAYER,online-boutique-8350,OK let me update BEz
2026-04-08 11:20:42,bob,online-boutique-8350,"Thanks, please keep us posted if BEz has any additional questions or requests."
2026-04-08 11:21:20,PLAYER,business-comms-8350,"*This is a global issue so far, I'll try and quantify for you but sales are donw although you can still click on the image that has not loaded and progress to payment*"
2026-04-08 11:21:22,uptimelabs,online-boutique-8350,:star: Qualify the problem
2026-04-08 11:21:32,bez,business-comms-8350,"How much revenue have we lost so far, and what is the current rate of lost sales per hour?"
2026-04-08 11:21:42,PLAYER,online-boutique-8350,Can we quantify the issue? Do we know how many sales we've lost?
2026-04-08 11:21:45,bob,online-boutique-8350,"We have over 100 customer reports so far, but we don't have exact sales loss numbers yet."
2026-04-08 11:21:50,PLAYER,online-boutique-8350,Tanya and Maya any news?
2026-04-08 11:21:53,uptimelabs,online-boutique-8350,:star: Manage actions and timings
2026-04-08 11:21:54,tanya,online-boutique-8350,"No new errors in ProductCatalogueService logs, but I'm still reviewing the last deployment diffs."
2026-04-08 11:22:04,maya,online-boutique-8350,CDN logs show a spike in 404 errors for product images starting about 45 minutes ago.
2026-04-08 11:22:13,PLAYER,online-boutique-8350,OK Who provides us with the images?
2026-04-08 11:22:16,maya,online-boutique-8350,"The images are provided by our merchandising team and uploaded to our central image storage, which is then distributed via CDN."
2026-04-08 11:22:30,tanya,online-boutique-8350,We should look deeper into Product catalogue service - this may not be due to change
2026-04-08 11:22:40,tanya,online-boutique-8350,There are spikes in traffic
2026-04-08 11:23:00,PLAYER,online-boutique-8350,OK lets do that
2026-04-08 11:23:04,bob,online-boutique-8350,I'll coordinate updates and make sure everyone is aligned on next steps.
2026-04-08 11:23:16,PLAYER,online-boutique-8350,Bob are you able to quantify the loss for now?
2026-04-08 11:23:20,bob,online-boutique-8350,"We can't quantify the exact sales loss yet, but we know over 100 customers have reported issues and product pages are not displaying correctly."
2026-04-08 11:23:54,tanya,online-boutique-8350,Security team should look deeper into what may be he cause of spike
