datetime,player,channel,message
2026-04-20 12:06:33,uptimelabs,online-boutique-8509,"Welcome to Once Upon a Time in Production, the responsibility is on you to size up the problem.

*Access game links by pressing the Uptime Labs Logo in the top right of the screen*
*Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-20 12:07:34,bob,online-boutique-8509,"Hey Everyone just in, customers are reporting the site images are not appearing, is this true?."
2026-04-20 12:08:15,PLAYER,online-boutique-8509,"hi Bob, Thank you for reporting. What is the impact? is it worldwide? I am checking the website. shay please check from your end also"
2026-04-20 12:08:16,bob,online-boutique-8509,"checking reports, let me get back to you on what customers are saying"
2026-04-20 12:08:18,uptimelabs,online-boutique-8509,:star: Reproduces the incident
2026-04-20 12:08:18,uptimelabs,online-boutique-8509,:star: Asking questions to validate impact of the problem
2026-04-20 12:08:41,bob,online-boutique-8509,"From what we can tell, the site isn't fully down. Customers can load pages and navigate categories, but something feels off visually"
2026-04-20 12:08:48,bob,online-boutique-8509,"A few people mentioned pages look ""incomplete"" or ""not finished loading"""
2026-04-20 12:09:06,PLAYER,online-boutique-8509,For some products I cant see images when I click from homepage 
2026-04-20 12:09:08,bob,online-boutique-8509,double checking reports....
2026-04-20 12:09:28,bob,online-boutique-8509,Getting over 100 reports so far on this
2026-04-20 12:09:33,bob,online-boutique-8509,"Looks like the common thread is that product images are not loading, and customers are seeing broken image icons instead. This is consistent across browsers"
2026-04-20 12:09:41,bob,online-boutique-8509,Definitely a global issue
2026-04-20 12:09:47,PLAYER,online-boutique-8509,
2026-04-20 12:09:47,uptimelabs,business-comms-8509,*Incident Number INC1082:* P2: images not loading for certain products.
2026-04-20 12:09:49,bob,online-boutique-8509,"Reports are coming in from multiple regions, so this is not isolated to one area."
2026-04-20 12:09:49,bez,business-comms-8509,Which regions are affected by this image loading issue?
2026-04-20 12:10:04,PLAYER,business-comms-8509,Worldwide. Images are not loading for few products. 
2026-04-20 12:10:07,uptimelabs,online-boutique-8509,:star: Qualify the problem
2026-04-20 12:10:33,PLAYER,online-boutique-8509,bob can we please check how many products are impacted. also is this impacting sales? 
2026-04-20 12:10:37,bob,online-boutique-8509,We're seeing missing images on at least 60% of product pages sampled so far.
2026-04-20 12:10:42,bob,online-boutique-8509,"Some customers are abandoning carts, so yes, sales are likely being impacted."
2026-04-20 12:10:51,PLAYER,online-boutique-8509,daniel shay what are the recent changes
2026-04-20 12:10:53,uptimelabs,online-boutique-8509,:star: Check changes done to the platform
2026-04-20 12:10:53,daniel,online-boutique-8509,Checking recent changes...
2026-04-20 12:11:06,PLAYER,business-comms-8509,"We're seeing missing images on at least 60% of product pages sampled so far.

"
2026-04-20 12:11:08,daniel,online-boutique-8509,I did deploy a chaos test for ProductCatalogueService earlier.
2026-04-20 12:11:13,daniel,online-boutique-8509,But that's UAT only — nothing in prod.
2026-04-20 12:11:16,daniel,online-boutique-8509,Also added some extra logging in checkout.
2026-04-20 12:11:20,daniel,online-boutique-8509,"Just log fields, shouldn't affect performance."
2026-04-20 12:11:23,shay,online-boutique-8509,I pushed a small frontend UI tweak earlier.
2026-04-20 12:11:28,shay,online-boutique-8509,Loading animation + accessibility stuff.
2026-04-20 12:11:31,shay,online-boutique-8509,No backend or infra changes.
2026-04-20 12:11:48,bez,business-comms-8509,How many customers or orders are impacted right now?
2026-04-20 12:12:05,PLAYER,online-boutique-8509,User activity and orders have reduced 
2026-04-20 12:12:09,shay,online-boutique-8509,My changes were non-functional and didn't touch image URLs or backend APIs.
2026-04-20 12:12:40,PLAYER,online-boutique-8509,daniel shay  These images are loaded from s3 ? 
2026-04-20 12:12:43,shay,online-boutique-8509,"Yes, product images are loaded from S3 via CDN links in the frontend."
2026-04-20 12:13:15,PLAYER,online-boutique-8509,Please check why images are missing for certain products. I am checking the recent deployments meanwhile
2026-04-20 12:13:17,daniel,online-boutique-8509,Checking application logs now…
2026-04-20 12:13:17,uptimelabs,online-boutique-8509,:star: Form an effective investigation team
2026-04-20 12:13:42,daniel,online-boutique-8509,Seeing a huge spike in requests hitting ProductCatalogueService.
2026-04-20 12:13:47,daniel,online-boutique-8509,WARN [ProductCatalogueService] Request timed out after 3000ms path=/productCatalogue method=GET
2026-04-20 12:13:50,shay,online-boutique-8509,Seeing slow dependency calls too.
2026-04-20 12:13:54,shay,online-boutique-8509,WARN [ProductCatalogueService] Slow response from downstream dependency latency=1800ms
2026-04-20 12:13:57,daniel,online-boutique-8509,PCS pod CPU is extremely high right now.
2026-04-20 12:13:57,PLAYER,online-boutique-8509,daniel can your UAT changes impact prod. 
2026-04-20 12:13:59,uptimelabs,online-boutique-8509,:star: Reviewed changes
2026-04-20 12:14:01,daniel,online-boutique-8509,"Service isn't crashing, but it's clearly struggling to keep up."
2026-04-20 12:14:06,daniel,online-boutique-8509,"No, the chaos test was only enabled in UAT and not deployed to production."
2026-04-20 12:14:20,PLAYER,online-boutique-8509,daniel can we scale up the service while we investigate
2026-04-20 12:14:25,daniel,online-boutique-8509,"Yes, we can scale up ProductCatalogueService replicas to handle more load while we dig deeper."
2026-04-20 12:15:12,PLAYER,online-boutique-8509,daniel shay calls to which service is timing out?  Request timed out after 3000ms path=/productCatalogue method=GET
2026-04-20 12:15:15,daniel,online-boutique-8509,The timeouts are happening on calls from the frontend to ProductCatalogueService.
2026-04-20 12:15:21,shay,online-boutique-8509,"PCS itself is also showing slow calls to its downstream dependency, which is the image metadata store."
2026-04-20 12:15:28,daniel,online-boutique-8509,Platform team could help us with this request
2026-04-20 12:15:55,PLAYER,online-boutique-8509,tanya can you please take a look
2026-04-20 12:15:58,tanya,online-boutique-8509,"Checking infra now, give me a moment."
2026-04-20 12:16:06,PLAYER,online-boutique-8509,what is happeing to image metadata
2026-04-20 12:16:18,PLAYER,business-comms-8509,checking
2026-04-20 12:16:18,tanya,online-boutique-8509,Seeing a lot more traffic reaching backend services than usual.
2026-04-20 12:16:23,tanya,online-boutique-8509,PCS request rate is way above baseline.
2026-04-20 12:16:27,tanya,online-boutique-8509,Been doing a comparison with Checkout and Frontend.
2026-04-20 12:16:31,PLAYER,online-boutique-8509,bob how many customers are impacted
2026-04-20 12:16:32,tanya,online-boutique-8509,"And they seem fine, let me show you"
2026-04-20 12:16:35,tanya,online-boutique-8509,https://i.ibb.co/fVY8zWQj/Checkout.png
2026-04-20 12:16:37,tanya,online-boutique-8509,https://i.ibb.co/Kk5gHqt/Frontend.png
2026-04-20 12:16:39,tanya,online-boutique-8509,https://i.ibb.co/chz2PJSH/PCS.png
2026-04-20 12:16:41,tanya,online-boutique-8509,PCS is the clear outlier.
2026-04-20 12:16:44,tanya,online-boutique-8509,Might be worth looping in Security to rule out something external.
2026-04-20 12:16:49,bez,business-comms-8509,I need concrete numbers on affected customers and orders as soon as possible.
2026-04-20 12:16:51,bob,online-boutique-8509,We're seeing a surge in support tickets and chat complaints about missing images and broken pages across all regions.
2026-04-20 12:16:55,bob,online-boutique-8509,"Customers are saying product images are missing or replaced with broken icons, making it hard to browse or trust the site."
2026-04-20 12:16:59,bob,online-boutique-8509,"Hundreds of customers are reporting issues, and our conversion rate has dropped by about 40% since the incident started."
2026-04-20 12:17:59,PLAYER,online-boutique-8509,maya Please check for any unusual activity in PCS. Meanwhile daniel checking if we are doing a ddos internally. Checkout service changes can it increase calls
2026-04-20 12:18:02,maya,online-boutique-8509,Looking at the alerts now.
2026-04-20 12:18:15,PLAYER,business-comms-8509,conversion rate has dropped by about 40% 
2026-04-20 12:18:22,maya,online-boutique-8509,Seeing a big spike hitting image-related endpoints.
2026-04-20 12:18:27,maya,online-boutique-8509,WAF rate-limit rules are firing.
2026-04-20 12:18:31,maya,online-boutique-8509,"ALERT: image-endpoint-rate-limit threshold=4,000/5min observed=15,000 action=BLOCK"
2026-04-20 12:18:34,maya,online-boutique-8509,ALERT: anomalous-request-rate endpoint=/productCatalogue status=triggered
2026-04-20 12:18:37,maya,online-boutique-8509,I'm calling this for now — looks like we're under a DDoS attack.
2026-04-20 12:18:42,maya,online-boutique-8509,Before we start mitigation please update the business
2026-04-20 12:18:49,bez,business-comms-8509,Are we able to estimate the revenue loss per hour from this drop in conversion rate?
2026-04-20 12:19:01,PLAYER,business-comms-8509,We are under DDoS. Our image store is targetted 
2026-04-20 12:19:26,PLAYER,online-boutique-8509,bez Please note maya comment
2026-04-20 12:19:32,bez,online-boutique-8509,What can we do to stop the attack?
2026-04-20 12:19:56,PLAYER,online-boutique-8509,maya do we need to update rate-limit rules? 
2026-04-20 12:20:02,maya,online-boutique-8509,Let me send over some information to you.
2026-04-20 12:20:48,bez,business-comms-8509,"Is the team actively mitigating the DDoS, and do we have an ETA for image recovery?"
2026-04-20 12:20:52,PLAYER,online-boutique-8509,hamed meanwhile do we need to take any action to protect our services? 
