datetime,player,channel,message
2026-04-15 11:10:15,uptimelabs,online-boutique-8436,"Welcome to Once Upon a Time in Production, the responsibility is on you to size up the problem.

*Access game links by pressing the Uptime Labs Logo in the top right of the screen*
*Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-15 11:13:21,bob,online-boutique-8436,"Hey Everyone just in, customers are reporting the site images are not appearing, is this true?."
2026-04-15 11:13:27,PLAYER,online-boutique-8436,Hello everyone
2026-04-15 11:13:32,daniel,online-boutique-8436,"Hey, I'm here—let me know what you need me to check."
2026-04-15 11:13:51,PLAYER,online-boutique-8436,bob Iam checking on this and taking it from here as IC
2026-04-15 11:13:53,uptimelabs,online-boutique-8436,:star: Take command
2026-04-15 11:13:59,bob,online-boutique-8436,"Thanks, let me know if you need any customer impact details or recent support tickets."
2026-04-15 11:14:56,PLAYER,online-boutique-8436,"just checked I can see images are loading for me
do you see is ithis happening for any specifc customers or is it for globally?

"
2026-04-15 11:14:57,bob,online-boutique-8436,"checking reports, let me get back to you on what customers are saying"
2026-04-15 11:14:58,uptimelabs,online-boutique-8436,:star: Asking questions to validate impact of the problem
2026-04-15 11:14:58,uptimelabs,online-boutique-8436,:star: Attempt to replicate the issue
2026-04-15 11:15:22,bob,online-boutique-8436,"From what we can tell, the site isn't fully down. Customers can load pages and navigate categories, but something feels off visually"
2026-04-15 11:15:29,bob,online-boutique-8436,"A few people mentioned pages look ""incomplete"" or ""not finished loading"""
2026-04-15 11:15:49,PLAYER,online-boutique-8436,Dashboards are showing a drop in order
2026-04-15 11:15:51,uptimelabs,online-boutique-8436,:star: Use metrics as evidence
2026-04-15 11:15:52,bob,online-boutique-8436,double checking reports....
2026-04-15 11:16:12,bob,online-boutique-8436,Getting over 100 reports so far on this
2026-04-15 11:16:17,bob,online-boutique-8436,"Looks like the common thread is that product images are not loading, and customers are seeing broken image icons instead. This is consistent across browsers"
2026-04-15 11:16:25,bob,online-boutique-8436,Definitely a global issue
2026-04-15 11:16:44,PLAYER,online-boutique-8436,"do you have scrsshoshots or error messages to check this furtehr
I am reviewing the changes which got deployed recently"
2026-04-15 11:16:48,daniel,online-boutique-8436,Checking recent changes...
2026-04-15 11:16:48,uptimelabs,online-boutique-8436,:star: Reviewed changes
2026-04-15 11:16:48,uptimelabs,online-boutique-8436,:star: Facts over opinion
2026-04-15 11:17:03,daniel,online-boutique-8436,I did deploy a chaos test for ProductCatalogueService earlier.
2026-04-15 11:17:08,daniel,online-boutique-8436,But that's UAT only — nothing in prod.
2026-04-15 11:17:11,daniel,online-boutique-8436,Also added some extra logging in checkout.
2026-04-15 11:17:15,daniel,online-boutique-8436,"Just log fields, shouldn't affect performance."
2026-04-15 11:17:18,shay,online-boutique-8436,I pushed a small frontend UI tweak earlier.
2026-04-15 11:17:23,shay,online-boutique-8436,Loading animation + accessibility stuff.
2026-04-15 11:17:26,shay,online-boutique-8436,No backend or infra changes.
2026-04-15 11:17:39,PLAYER,online-boutique-8436,daniel shay Can you please review this changes which got deployed and confirm if y9ou are seeing anything first and last deployed
2026-04-15 11:17:40,daniel,online-boutique-8436,Checking application logs now…
2026-04-15 11:18:05,daniel,online-boutique-8436,Seeing a huge spike in requests hitting ProductCatalogueService.
2026-04-15 11:18:10,daniel,online-boutique-8436,WARN [ProductCatalogueService] Request timed out after 3000ms path=/productCatalogue method=GET
2026-04-15 11:18:13,shay,online-boutique-8436,Seeing slow dependency calls too.
2026-04-15 11:18:17,shay,online-boutique-8436,WARN [ProductCatalogueService] Slow response from downstream dependency latency=1800ms
2026-04-15 11:18:21,daniel,online-boutique-8436,PCS pod CPU is extremely high right now.
2026-04-15 11:18:25,daniel,online-boutique-8436,"Service isn't crashing, but it's clearly struggling to keep up."
2026-04-15 11:18:48,PLAYER,business-comms-8436,"Hello everyone,

Received the messages from CS team mentined website is not working as expecetd and csutomers are complain the same, I am checking further to see whats the impact. since I am not able to replicate this on my lcoally"
2026-04-15 11:18:50,bez,business-comms-8436,Which regions are affected and how many customers are impacted right now?
2026-04-15 11:18:51,uptimelabs,online-boutique-8436,:star: Qualify the problem
2026-04-15 11:19:15,PLAYER,online-boutique-8436,daniel was this due to the above change?
2026-04-15 11:19:17,daniel,online-boutique-8436,"The chaos test was only enabled in UAT, not production, so it shouldn't be affecting live traffic."
2026-04-15 11:19:49,PLAYER,online-boutique-8436,"I belive, its not run wrongly to target prod config? can you please double check on this"
2026-04-15 11:19:53,daniel,online-boutique-8436,Double-checking chaos test config now...
2026-04-15 11:19:56,daniel,online-boutique-8436,"Confirmed: chaos test is only targeting UAT, not production."
2026-04-15 11:20:02,PLAYER,online-boutique-8436,if its matching the timimg and config
2026-04-15 11:20:05,tanya,online-boutique-8436,I can confirm from the deployment dashboard that the chaos test config was not applied to production; only UAT was affected.
2026-04-15 11:20:47,PLAYER,online-boutique-8436,thanks tanya do y9ou see anything on platform side ? 
2026-04-15 11:20:51,tanya,online-boutique-8436,"Checking infra now, give me a moment."
2026-04-15 11:21:11,tanya,online-boutique-8436,Seeing a lot more traffic reaching backend services than usual.
2026-04-15 11:21:16,tanya,online-boutique-8436,PCS request rate is way above baseline.
2026-04-15 11:21:20,tanya,online-boutique-8436,Been doing a comparison with Checkout and Frontend.
2026-04-15 11:21:25,tanya,online-boutique-8436,"And they seem fine, let me show you"
2026-04-15 11:21:28,tanya,online-boutique-8436,https://i.ibb.co/fVY8zWQj/Checkout.png
2026-04-15 11:21:30,tanya,online-boutique-8436,https://i.ibb.co/Kk5gHqt/Frontend.png
2026-04-15 11:21:30,PLAYER,online-boutique-8436,"daniel CHG89420
can you pelase check this change as well to see if its related?"
2026-04-15 11:21:32,tanya,online-boutique-8436,https://i.ibb.co/chz2PJSH/PCS.png
2026-04-15 11:21:34,tanya,online-boutique-8436,PCS is the clear outlier.
2026-04-15 11:21:37,tanya,online-boutique-8436,Might be worth looping in Security to rule out something external.
2026-04-15 11:21:43,daniel,online-boutique-8436,"CHG89420 was the checkout service logging update, which only added more detailed payment logs and didn't touch image delivery or product catalogue endpoints."
2026-04-15 11:21:54,daniel,online-boutique-8436,"I don't see any connection between that change and the missing images or degraded storefront experience, but happy to dig deeper if you want."
2026-04-15 11:21:57,PLAYER,online-boutique-8436,thanks
2026-04-15 11:22:00,tanya,online-boutique-8436,Let me know if you need any more platform-level checks or want to review deployment timelines in Grafana.
2026-04-15 11:22:11,PLAYER,online-boutique-8436,shay anything on the frontend logs?
2026-04-15 11:22:14,shay,online-boutique-8436,Frontend logs show a spike in 504 Gateway Timeout errors when trying to load product images.
2026-04-15 11:22:20,shay,online-boutique-8436,The errors started around the same time PCS traffic spiked.
2026-04-15 11:23:29,PLAYER,online-boutique-8436,do you see any any unusal triffic tanya compared to yeserday at this time?
2026-04-15 11:23:33,tanya,online-boutique-8436,"Yes, PCS traffic is about 8x higher than this time yesterday, while other services are flat."
2026-04-15 11:23:36,PLAYER,online-boutique-8436,I will pull the securtity team 
2026-04-15 11:23:38,maya,online-boutique-8436,Looking at the alerts now.
2026-04-15 11:23:56,PLAYER,online-boutique-8436,let me raise a P1 incident 
2026-04-15 11:23:58,maya,online-boutique-8436,Seeing a big spike hitting image-related endpoints.
2026-04-15 11:24:03,maya,online-boutique-8436,WAF rate-limit rules are firing.
2026-04-15 11:24:07,maya,online-boutique-8436,"ALERT: image-endpoint-rate-limit threshold=4,000/5min observed=15,000 action=BLOCK"
2026-04-15 11:24:10,maya,online-boutique-8436,ALERT: anomalous-request-rate endpoint=/productCatalogue status=triggered
2026-04-15 11:24:13,maya,online-boutique-8436,I'm calling this for now — looks like we're under a DDoS attack.
