datetime,player,Channel,message
17/09/2025 11:17,Roberta Roccia,secure-channel,Hey
17/09/2025 11:17,Roberta Roccia,secure-channel,<@U06CA3MRAJF> <@U03BY6AJZMM> <@U047N91SRH8> <@U047N6LUYJX>
17/09/2025 11:17,Maya,secure-channel,@Roberta Roccia let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?
17/09/2025 11:17,Maya,secure-channel,"I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
17/09/2025 11:17,Roberta Roccia,secure-channel,<@U047N6MGH19> <@U047N6LHU0K>
17/09/2025 11:18,Roberta Roccia,secure-channel,ok I have added the core team
17/09/2025 11:18,Roberta Roccia,secure-channel,<@U06CA3MRAJF> pls contact Cyvantics Security
17/09/2025 11:18,Maya,secure-channel,"Yes, we've got an IR(incident response) retainer with Cyvantics Security. That means they're on standby for scenarios like this - to investigate, contain, and guide us through recovery"
17/09/2025 11:18,Roberta Roccia,secure-channel,lets contact them asap
17/09/2025 11:18,Maya,secure-channel,"Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage. Once that's done, they'll begin full forensics to trace the origin and impact"
17/09/2025 11:19,Roberta Roccia,secure-channel,ok
17/09/2025 11:19,Maya,secure-channel,"Meanwhile, I'd gotten a checklist from Cyvantics earlier for situations like this. @Roberta Roccia, can you help track the steps and coordinate? We've got this, together."
17/09/2025 11:19,Maya,secure-channel,<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>
17/09/2025 11:19,Maya,secure-channel,"I'm up here coordinating with Cyvantics and our team, I need you to track the checklist steps closely. It's a high stake situation, i might miss something in between"
17/09/2025 11:19,Maya,secure-channel,"We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help run through them with Tanya, Hamed, and Daniel so we can hit the ground fast"
17/09/2025 11:19,Roberta Roccia,secure-channel,"do we need to add anything on the website, do we need a maintenance page?"
17/09/2025 11:19,Maya,secure-channel,Bob will take care of it
17/09/2025 11:20,Roberta Roccia,secure-channel,"Steps for Isolation:


Steps to be done, mentioned along with the *owning* team
1. Disconnect the infected server -&gt; Platforms 
2. Cut off infrastructure traffic -&gt; Platforms
3. Disconnect DB &amp; freeze backup -&gt; Application
4. Detach from Shared Resource -&gt; Platforms
5. Take snapshots (Disk &amp; Memory) -&gt; Ask team
6. Kill suspicious process or activity -&gt; Platforms
Steps for Restoration:


Steps to be done, mentioned along with the *owning* team
1. Validate backups → Security
2. Wipe infected systems → Platforms
3. Rebuild from clean backup → Platforms
4. Re-enable security agent on the servers → Security
5. Reconnect traffic to services and monitor → Platforms
"
17/09/2025 11:20,Maya,secure-channel,"I've given write access to Tanya, Hamed, Daniel, and myself"
17/09/2025 11:20,Roberta Roccia,secure-channel,OK lets start
17/09/2025 11:20,Tanya,secure-channel,Disconnecting the checkout servers from the infra now
17/09/2025 11:20,Daniel,secure-channel,I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist
17/09/2025 11:20,Hamed,secure-channel,I'll verify if any shared storage is still attached to the checkout DB
17/09/2025 11:21,Daniel,secure-channel,"Step 3 done, DB connection to checkout is now cut. Also confirmed that we have a daily backup job in place running at 2AM everyday"
17/09/2025 11:21,Tanya,secure-channel,"Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
