datetime,player,channel,message
2026-03-31 10:29:41,uptimelabs,online-boutique-8263,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-03-31 10:36:17,PLAYER,online-boutique-8263,
2026-03-31 10:36:17,uptimelabs,business-comms-8263,*Incident Number INC100052:* P2 test
2026-03-31 10:37:37,tinus,online-boutique-8263,"Welcome our new IM @andrew.carter-withersworldwide.com, Happy to have you in the team. Hope you get comfortable with everyone"
2026-03-31 10:37:42,shay,online-boutique-8263,Welcome @andrew.carter-withersworldwide.com
2026-03-31 10:37:46,daniel,online-boutique-8263,Nice to meet you @andrew.carter-withersworldwide.com
2026-03-31 10:37:56,bob,online-boutique-8263,There are a few strange customer reports with the helpdesk
2026-03-31 10:38:00,bob,online-boutique-8263,"Apparently, the site is loading slowly"
2026-03-31 10:38:04,bob,online-boutique-8263,People are reporting that they can't make payments either
2026-03-31 10:38:08,bob,online-boutique-8263,
2026-03-31 10:38:12,bob,online-boutique-8263,@andrew.carter-withersworldwide.com Can you check this?
2026-03-31 10:38:39,PLAYER,online-boutique-8263,ok will check now
2026-03-31 10:39:43,uptimelabs,online-boutique-8263,:star: Reproduces the incident
2026-03-31 10:40:00,PLAYER,online-boutique-8263,so i am seeing a message stating that there is a bad gateway 502 error @bob 
2026-03-31 10:40:04,bob,online-boutique-8263,"Same here - Let me know if you need more information - Also, the customer calls are increasing"
2026-03-31 10:40:50,PLAYER,online-boutique-8263,ok i will start an incident for this
2026-03-31 10:40:56,bob,online-boutique-8263,Thanks
2026-03-31 10:41:22,PLAYER,online-boutique-8263,
2026-03-31 10:41:22,uptimelabs,business-comms-8263,*Incident Number INC100059:* P1 website is down
2026-03-31 10:41:22,uptimelabs,online-boutique-8263,:star: Incident record created
2026-03-31 10:41:24,uptimelabs,online-boutique-8263,:star: Send first comms in first 5 minutes
2026-03-31 10:41:27,bez,business-comms-8263,How many customers are affected? Are the reports coming in from all regions?
2026-03-31 10:42:26,PLAYER,online-boutique-8263,do we know haow many customers this affecting and is it all regions?@bob 
2026-03-31 10:42:28,uptimelabs,online-boutique-8263,:star: Asking questions to validate impact of the problem
2026-03-31 10:42:28,bob,online-boutique-8263,Let me gather the information for you
2026-03-31 10:42:33,bob,online-boutique-8263,There are more than 300 customer reports till now
2026-03-31 10:42:35,PLAYER,online-boutique-8263,thank you
2026-03-31 10:42:40,bob,online-boutique-8263,"Calls are from every region, likely to be Global"
2026-03-31 10:42:46,bob,online-boutique-8263,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2026-03-31 10:42:51,bob,online-boutique-8263,Let me know if you need more information
2026-03-31 10:43:04,uptimelabs,online-boutique-8263,:bulb: Form a working theory and try to validate or invalidate it
2026-03-31 10:43:31,PLAYER,business-comms-8263,so we have reports of over 300 uses and all regions @bez 
2026-03-31 10:43:33,uptimelabs,online-boutique-8263,:star: Qualify the problem
2026-03-31 10:43:33,bez,business-comms-8263,"Okay , Thanks- Get this sorted ASAP - Its an important day for us"
2026-03-31 10:44:51,PLAYER,online-boutique-8263,So i have tried to visit the site and am able to reproduce the issue the customer is experiencing with being unable to access the site
2026-03-31 10:44:56,uptimelabs,online-boutique-8263,:bulb: Form an effective investigation team
2026-03-31 10:45:16,shay,online-boutique-8263,Same here - Website seems to completely down
2026-03-31 10:46:43,PLAYER,online-boutique-8263,Can we get @tanya to have a look and see if they can see anything from there end?
