datetime,player,channel,message
2026-04-09 07:33:54,uptimelabs,online-boutique-8356,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-09 07:40:14,PLAYER,online-boutique-8356,
2026-04-09 07:40:14,uptimelabs,business-comms-8356,*Incident Number INC1071:* P1 test
2026-04-09 07:41:22,tinus,online-boutique-8356,"Welcome our new IM @PLAYER Happy to have you in the team. Hope you get comfortable with everyone"
2026-04-09 07:41:27,shay,online-boutique-8356,Welcome @PLAYER
2026-04-09 07:41:32,daniel,online-boutique-8356,Nice to meet you @PLAYER
2026-04-09 07:41:42,bob,online-boutique-8356,There are a few strange customer reports with the helpdesk
2026-04-09 07:41:46,bob,online-boutique-8356,"Apparently, the site is loading slowly"
2026-04-09 07:41:50,bob,online-boutique-8356,People are reporting that they can't make payments either
2026-04-09 07:41:53,bob,online-boutique-8356,
2026-04-09 07:41:57,bob,online-boutique-8356,@PLAYER Can you check this?
2026-04-09 07:42:17,PLAYER,online-boutique-8356,"Hi bob , on it"
2026-04-09 07:43:33,uptimelabs,online-boutique-8356,:star: Attempt to replicate the issue
2026-04-09 07:44:35,bob,online-boutique-8356,Let me gather the information for you
2026-04-09 07:44:35,PLAYER,online-boutique-8356,bob Can we determine the business impact? how many users are affected?
2026-04-09 07:44:38,uptimelabs,online-boutique-8356,:star: Asking questions to validate impact of the problem
2026-04-09 07:44:40,bob,online-boutique-8356,There are more than 300 customer reports till now
2026-04-09 07:44:44,uptimelabs,online-boutique-8356,:bulb: Declare an incident.
2026-04-09 07:44:47,bob,online-boutique-8356,"Calls are from every region, likely to be Global"
2026-04-09 07:44:53,bob,online-boutique-8356,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2026-04-09 07:44:58,bob,online-boutique-8356,Let me know if you need more information
2026-04-09 07:45:44,PLAYER,online-boutique-8356,"hamed i am getting an error  that says ""502 gateway"" when accessing the site. Are you able to assess the situation?"
2026-04-09 07:45:45,hamed,online-boutique-8356,"Sure, let me take a look - Did we involve developers ?"
2026-04-09 07:45:46,uptimelabs,online-boutique-8356,:star: Escalating when required
2026-04-09 07:46:24,PLAYER,online-boutique-8356,
2026-04-09 07:46:24,uptimelabs,online-boutique-8356,:star: Incident record created
2026-04-09 07:46:24,uptimelabs,business-comms-8356,"*Incident Number INC1041:* P1 ""Online store website is down"""
2026-04-09 07:46:26,uptimelabs,online-boutique-8356,:star: Send first comms in first 5 minutes
2026-04-09 07:46:29,bez,business-comms-8356,How many customers are affected? Are the reports coming in from all regions?
2026-04-09 07:46:57,bez,business-comms-8356,Hi Lew- Is this impacting all regions ?
2026-04-09 07:47:38,uptimelabs,online-boutique-8356,":bulb: Form strategy for troubleshooting, use whole team to execute"
2026-04-09 07:48:34,PLAYER,business-comms-8356,300 users are affected and reports are coming in from all regions. Currrently liaising with the developers to try to restore the service as quickly as possible. I will update every 20 minutes
2026-04-09 07:48:35,bez,business-comms-8356,"Okay- I have a stake holders meet in 10 minutes, keep me posted"
2026-04-09 07:48:36,uptimelabs,online-boutique-8356,:star: Qualify the problem
2026-04-09 07:48:36,uptimelabs,online-boutique-8356,:star: Track actions and time box them
2026-04-09 07:49:44,PLAYER,online-boutique-8356,daniel shay could you please identify the cause of the issue with the website problem and let me know if the service can be restored asap?
2026-04-09 07:49:47,uptimelabs,online-boutique-8356,:star: Manage actions and timings
2026-04-09 07:49:49,shay,online-boutique-8356,Looking into this and trying to replicate the issue
2026-04-09 07:49:51,daniel,online-boutique-8356,I am able to replicate the issue. Checking the logs now
2026-04-09 07:49:54,daniel,online-boutique-8356,"I see a lot of errors, most of them are context initialisation errors "
2026-04-09 07:49:58,daniel,online-boutique-8356,
2026-04-09 07:50:00,shay,online-boutique-8356,Yes replicated the issue and even i'm seeing similar errors in frontend logs
2026-04-09 07:50:04,bez,business-comms-8356,"I have a stake holders meet in next 10 minutes, @PLAYER do you think this can be resolved by then? "
2026-04-09 07:50:44,uptimelabs,online-boutique-8356,:bulb: Check the changes done in the platform
2026-04-09 07:51:05,PLAYER,online-boutique-8356,shay daniel  can the service be restored within 8 minutes?
2026-04-09 07:51:19,daniel,online-boutique-8356,"Not sure, we are still investigating"
2026-04-09 07:52:14,PLAYER,business-comms-8356,I am working with Daniel and Shay to check if we can restore service in 8 minutes. They are stil currently investigating
2026-04-09 07:52:15,bez,business-comms-8356,"Move things faster, thanks"
2026-04-09 07:53:22,hamed,online-boutique-8356,Can we take a look at changes ?
2026-04-09 07:53:53,PLAYER,online-boutique-8356,shay daniel could you list the changes?
