datetime,player,channel,message
2026-04-07 13:03:41,uptimelabs,online-boutique-8329,"Welcome to The Big Investor, it is time to meet the team.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-07 13:06:09,bez,online-boutique-8329,"Everyone, listen up, I just got off the phone with our biggest investor, Melon Tusk. He told me he was just trying to buy a Candle Holder for his grandma but the website wouldn't let him buy it."
2026-04-07 13:06:18,bez,online-boutique-8329,Melon is really nervous because he heard about our outage earlier in the week.
2026-04-07 13:06:22,bez,online-boutique-8329,Please tell me it's a problem with his computer and not a problem with our website.
2026-04-07 13:06:26,tinus,online-boutique-8329,"Ok everyone, you know what to do. @patrick.guckian-withersworldwide.com let's size up the issue."
2026-04-07 13:06:32,tinus,online-boutique-8329,I hope it's not payments again. I fear it is.
2026-04-07 13:06:36,bez,online-boutique-8329,Oh my knees! Not again. Get this back up fast or we are toast!
2026-04-07 13:06:41,bez,online-boutique-8329,keep me updated in the Business Comms channel
2026-04-07 13:06:47,tinus,online-boutique-8329,Is Melon the only one with this issue?
2026-04-07 13:06:59,bez,business-comms-8329,Melon's on the phone asking to join the incident bridge.
2026-04-07 13:07:02,bez,business-comms-8329,I told him it's not worth it and you have it under control under control. Don't let me down!
2026-04-07 13:07:09,bez,business-comms-8329,@patrick.guckian-withersworldwide.com Tusk is very invested in this issue since he was involved in the incident so he's going to want constant updates
2026-04-07 13:07:33,PLAYER,online-boutique-8329,@daniel @shay  are you able to test the site I see a HTTP Status: 500 Internal Server Error when I get to the checkout 
2026-04-07 13:07:35,daniel,online-boutique-8329,Checking
2026-04-07 13:07:36,uptimelabs,online-boutique-8329,:star: Reproduces the incident
2026-04-07 13:07:42,daniel,online-boutique-8329,"Yes, i do get same error"
2026-04-07 13:07:44,PLAYER,online-boutique-8329,"rpc error: code = Unavailable desc = connection error: desc = ""transport: Error while dialing: dial tcp 172.20.253.230:50051: connect: connection refused""
failed to get shipping quote
main.(*frontendServer).viewCartHandler
	/src/handlers.go:273
net/http.HandlerFunc.ServeHTTP
	/usr/local/go/src/net/http/server.go:2220
github.com/gorilla/mux.(*Router).ServeHTTP
	/go/pkg/mod/github.com/gorilla/mux@v1.8.1/mux.go:212
main.(*logHandler).ServeHTTP
	/src/middleware.go:82
main.main.ensureSessionID.func4
	/src/middleware.go:109
net/http.HandlerFunc.ServeHTTP
	/usr/local/go/src/net/http/server.go:2220
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp.(*middleware).serveHTTP
	/go/pkg/mod/go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp@v0.60.0/handler.go:179
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp.NewMiddleware.func1.1
	/go/pkg/mod/go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp@v0.60.0/handler.go:67
net/http.HandlerFunc.ServeHTTP
	/usr/local/go/src/net/http/server.go:2220
net/http.serverHandler.ServeHTTP
	/usr/local/go/src/net/http/server.go:3210
net/http.(*conn).serve
	/usr/local/go/src/net/http/server.go:2092
runtime.goexit
	/usr/local/go/src/runtime/asm_amd64.s:1700"
2026-04-07 13:07:54,shay,online-boutique-8329,Even i cant place orders
2026-04-07 13:08:00,shay,online-boutique-8329,Failing before check out
2026-04-07 13:08:03,PLAYER,business-comms-8329,Problem reported at checkout at site investigating 
2026-04-07 13:08:09,PLAYER,online-boutique-8329,
2026-04-07 13:08:09,uptimelabs,business-comms-8329,*Incident Number INC1020:* p1
2026-04-07 13:08:10,uptimelabs,online-boutique-8329,:star: Incident record created
2026-04-07 13:08:11,bez,business-comms-8329,"Tusk says he might not invest in the next round, depending on how we handle this outage."
2026-04-07 13:08:14,bez,business-comms-8329,I will need constant updates on the progress of the incident so he can see how well we handle these high-severity incidents
2026-04-07 13:08:34,uptimelabs,online-boutique-8329,:bulb: how many users are affected? does this rule out possible causes?
