datetime,player,channel,message
2026-04-20 13:02:40,uptimelabs,online-boutique-8511,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands* 
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-20 13:05:37,bob,online-boutique-8511,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-04-20 13:05:44,bob,online-boutique-8511,This is strange
2026-04-20 13:05:50,bob,online-boutique-8511,Just seen a couple of reports of customers not receiving the right item on delivery
2026-04-20 13:05:55,tinus,online-boutique-8511,Hmm? that sounds strange. @patrick.guckian-withersworldwide.com can you take point and start sizing this up?
2026-04-20 13:06:02,PLAYER,online-boutique-8511,Will do 
2026-04-20 13:06:57,PLAYER,online-boutique-8511,@Daniel @Shay is there any issues with the ordering system where items in the cart at not matching up with what shipped?
2026-04-20 13:06:59,shay,online-boutique-8511,Nothing as of now- What's the issue ? i can place orders without an issue
2026-04-20 13:07:00,uptimelabs,online-boutique-8511,:star: Asking questions to validate impact of the problem
2026-04-20 13:07:15,uptimelabs,online-boutique-8511,:bulb: Understand the problem by reproducing it
2026-04-20 13:07:19,PLAYER,online-boutique-8511,@Bob is it global or just one area 
2026-04-20 13:07:22,bob,online-boutique-8511,Checking reports...
2026-04-20 13:07:46,bob,online-boutique-8511,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-04-20 13:07:57,bob,online-boutique-8511,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-04-20 13:08:02,bob,online-boutique-8511,We have currently got more than 17 complaints so far
2026-04-20 13:08:48,bez,business-comms-8511,Do we have an issue? @Patrick
2026-04-20 13:09:21,PLAYER,online-boutique-8511,The pictures on the website are not mating up with the description 
2026-04-20 13:09:23,bob,online-boutique-8511,Oh thats bad- we might have a bigge rissue
2026-04-20 13:09:41,daniel,online-boutique-8511,We could try to halt all incoming orders but not sure on the scale of impact
2026-04-20 13:09:47,bob,online-boutique-8511,@patrick.guckian-withersworldwide.com Could you please discuss this with Bez?
2026-04-20 13:10:03,PLAYER,online-boutique-8511,@Daniel @Shay was anything done with the website lately that could change that?
2026-04-20 13:10:06,uptimelabs,online-boutique-8511,:star: Check changes done to the platform
2026-04-20 13:10:13,bob,online-boutique-8511,Do we know if we are taking orders base don image or label ?
2026-04-20 13:10:25,PLAYER,online-boutique-8511,@bez something seems to be wrong with the site 
2026-04-20 13:10:25,shay,online-boutique-8511,Here's the detailed info on each of the changes made today
2026-04-20 13:10:26,bez,business-comms-8511,"If we're taking the wrong orders, then let's pause all incoming orders right away. We can't afford huge returns or refunds"
2026-04-20 13:10:27,shay,online-boutique-8511,Hope this helps:https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE
2026-04-20 13:10:37,PLAYER,online-boutique-8511,
2026-04-20 13:10:37,uptimelabs,business-comms-8511,*Incident Number INC1021:* p2 site mismatch
