datetime,player,channel,message
2026-03-03 09:23:51,bez,online-boutique-7864,"What a day! Our Grand Summer Sale kicked off this morning at 10, and the response has been insane. Can't believe we're already 5 hours in"
2026-03-03 09:23:53,bob,online-boutique-7864,"Totally! Just checked the dashboard, we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
2026-03-03 09:23:56,tinus,online-boutique-7864,"That's fantastic, but hey, this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
2026-03-03 09:23:59,bez,online-boutique-7864,"Seeing so many people shopping on a holiday, it feels satisfying. Exactly the momentum we were hoping for"
2026-03-03 09:24:01,uptimelabs,online-boutique-7864,"Welcome to DEFCON 1, are you prepared for the challenge?.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-03-03 09:28:07,PLAYER,online-boutique-7864,@jeff.wong-withersworld 
2026-03-03 09:29:14,PLAYER,online-boutique-7864,@jamie.mardell-withersw 
2026-03-03 09:31:12,PLAYER,business-comms-7864,@PLAYER 
2026-03-03 09:31:44,shay,online-boutique-7864,"Not this time!, I just got a few alerts mentioning severe errors popping up in PROD"
2026-03-03 09:31:47,bob,online-boutique-7864,Weird... a few users just complained they are unable to complete their orders. Feels... off..
2026-03-03 09:33:01,bob,online-boutique-7864,Reports are climbing @PLAYER
2026-03-03 09:33:44,shay,online-boutique-7864,I'm getting resource exhaustion alerts again and again in PROD
2026-03-03 09:34:22,PLAYER,online-boutique-7864,"Hi Bob, are we getting reports of error message?"
2026-03-03 09:34:26,uptimelabs,online-boutique-7864,:star: Asking questions to validate impact of the problem
2026-03-03 09:34:31,bob,online-boutique-7864,"Sure, let me look at my reports"
2026-03-03 09:34:46,bob,online-boutique-7864,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe 
2026-03-03 09:34:48,bob,online-boutique-7864,"Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart"""
2026-03-03 09:34:50,bob,online-boutique-7864,"USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy"""
2026-03-03 09:34:52,bob,online-boutique-7864,"Japan - ""Got to checkout, then error 502. Tried again - cart gone"""
2026-03-03 09:34:54,bob,online-boutique-7864,"To sum it all, we have got 240+ reports globally"
2026-03-03 09:34:56,bob,online-boutique-7864,
2026-03-03 09:35:04,PLAYER,online-boutique-7864,When was the first report of the issue?
2026-03-03 09:35:15,bob,online-boutique-7864,Around 20 mins back
2026-03-03 09:35:23,PLAYER,online-boutique-7864,Apps team - was there any change implemented in the last 15 minutes?
2026-03-03 09:35:26,uptimelabs,online-boutique-7864,:star: Check changes done to the platform
2026-03-03 09:35:29,shay,online-boutique-7864,Here is the list of latest deployments : https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE 
2026-03-03 09:35:34,PLAYER,online-boutique-7864,anything you can see from your side?
2026-03-03 09:36:08,shay,online-boutique-7864,Alerts are around Checkout app - lots of timeouts and out of memory
2026-03-03 09:36:13,shay,online-boutique-7864,"For further clarity, looking into logs now"
2026-03-03 09:36:17,daniel,online-boutique-7864,I'll help Shay as well
2026-03-03 09:36:18,bez,business-comms-7864,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @PLAYER? 
2026-03-03 09:36:23,shay,online-boutique-7864,Found these below error logs
2026-03-03 09:36:24,shay,online-boutique-7864,"```
app[checkout-service] [ERROR] - write() failed, Read-only filesystem
app[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error
app[checkout-service] [ERROR] - Transaction commit failed, Read-only file system
[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service
[ERROR] nginx[3245] - 504 Gateway Timeout while accessing upstream checkout service```"
2026-03-03 09:36:28,shay,online-boutique-7864,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
2026-03-03 09:36:46,daniel,online-boutique-7864,"Looking at the above logs, app looks fine. But system can't write new data. Errors suggests to be an infra component failure"
2026-03-03 09:36:53,daniel,online-boutique-7864,"Also checkout servers show CPU and memory limits exceeded alerts, this definitely looks bigger than just an app issue"
2026-03-03 09:36:55,daniel,online-boutique-7864,"```app[checkout-service]: systemd[1][WARN] Resource usage threshold exceeded - CPU: 96%, Memory: 92%```"
2026-03-03 09:37:03,shay,online-boutique-7864,Could this be due to load or any changes ?
2026-03-03 09:37:08,daniel,online-boutique-7864,@PLAYER let us know if you would like us to rollback any changes ?
2026-03-03 09:37:40,daniel,online-boutique-7864,This is the current state of metrics in Grafana : https://i.ibb.co/p688rcbw/Screenshot-2026-03-03-at-9-37-04-AM.png
2026-03-03 09:41:01,daniel,online-boutique-7864,I think this is platform issue
2026-03-03 09:41:37,daniel,online-boutique-7864,All the errors in the checkout app suggest an issue with infra
2026-03-03 09:42:58,bez,business-comms-7864,I need an update right now. I can see alot of users are taking out their frustration via social media
2026-03-03 09:43:22,bez,business-comms-7864,Team get on top of this issue asap
2026-03-03 09:43:34,PLAYER,online-boutique-7864,Hi Bob - could you kindly post comms for users so they know that we are having issues please?
2026-03-03 09:43:36,uptimelabs,online-boutique-7864,:star: Know your team and their roles
2026-03-03 09:43:57,bob,online-boutique-7864,Sure i can do it
2026-03-03 09:44:15,bob,online-boutique-7864,Will keep the users informed on a potential issue at the backend
2026-03-03 09:44:32,PLAYER,business-comms-7864,"Hi Bez, we are aware of an issue and have the team investigating this at this moment in time"
2026-03-03 09:44:46,PLAYER,online-boutique-7864,"Hi Hamed, could you kindly join this channel please?"
2026-03-03 09:44:49,uptimelabs,online-boutique-7864,:star: Escalating when required
2026-03-03 09:45:07,hamed,online-boutique-7864,"Hey @PLAYER , i'll get Tanya to look into this"
2026-03-03 09:45:23,tanya,online-boutique-7864,Checking infra...
2026-03-03 09:45:38,PLAYER,online-boutique-7864,"Hi Bob, have you raised a Major Incident?"
2026-03-03 09:45:44,hamed,online-boutique-7864,Helping Tanya along with her infra investigation
2026-03-03 09:45:53,tanya,online-boutique-7864,"All four checkout servers are maxed out - CPU, memory, and disk I/O all spiking. No changes or deployments were done from platform side"
2026-03-03 09:45:58,tanya,online-boutique-7864,
2026-03-03 09:46:11,bob,online-boutique-7864,"Could you please raise one by typing ""/incident severity short-description"""
