"session_start","day_of_week","duration","level","name","player","completion_status","identify_scope","incident_mechanics","external_comms","internal_comms","commanding_the_incident","Complexity: Ambiguous cues (multiple alternatives)","Complexity: Attention Demands","Complexity: Conflicting Advice","Complexity: Decreased access to team members","Complexity: Distributed information across individuals/organiza","Complexity: Doublebind situations (dilemmas)","Complexity: False prime explanations (garden path)","Complexity: Hidden coupling (effects at a distance; cascading e","Complexity: Implied relationship (red herring)","Complexity: Interdependencies amongst roles (someone needs some","Complexity: Lack of predefined plan","Complexity: Misleading indicators (low predictive value)","Complexity: Mismatch between prede fined plans or procedures an","Complexity: Missing Information","Complexity: Multi Party Dilema","Complexity: Multiple simultaneous influences (more than one exp","Complexity: Multiple simultaneous influences (multiple explanat","Complexity: Saturation","Complexity: Simultaneous seperate issues","Complexity: Stakeholder Interference","Complexity: Stereotype violations (not the usual suspect)","Complexity: Stress or fatigue","Complexity: Uncertain information (unreliable data)","Complexity: Unintended effects (managing side effects)","Complexity: Absence of strong signals (no alarms, no threshold","max","Category: Detecting","Category: Sensemaking","Category: Planning","Category: Deciding","Category: Coordination","Category: Executing"
2026-01-21 00:00:00.000 +0000,Wednesday,00:12:10,29,Too Good To Be True,s.sasi,COMPLETED,0.44444444444444444444,0.50000000000000000000,0.66666666666666666667,0.26666666666666666667,0.09090909090909090909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,1,2,0,0,0
2026-01-23 00:00:00.000 +0000,Friday   ,00:10:25,29,Too Good To Be True,cflounders,COMPLETED,0.22222222222222222222,0.50000000000000000000,0.66666666666666666667,0.53333333333333333333,0.36363636363636363636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,1,2,0,0,0
2026-01-23 00:00:00.000 +0000,Friday   ,00:11:17,29,Too Good To Be True,stuck2,COMPLETED,0.33333333333333333333,0.00000000000000000000,0.16666666666666666667,0.33333333333333333333,0.18181818181818181818,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,1,2,0,0,0
2026-01-27 00:00:00.000 +0000,Tuesday  ,00:09:44,5,Bezs Beatles Day! V2,kdanjo,COMPLETED,0.33333333333333333333,0.00000000000000000000,0.16666666666666666667,0.26666666666666666667,0.09090909090909090909,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,1,0,0,0
2026-01-28 00:00:00.000 +0000,Wednesday,00:23:20,26,Discount Disaster,s.sasi,COMPLETED,0.44444444444444444444,0.50000000000000000000,0.50000000000000000000,0.53333333333333333333,0.36363636363636363636,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,2,0,0,0,0
2026-01-28 00:00:00.000 +0000,Wednesday,00:15:37,29,Too Good To Be True,eschulman6,COMPLETED,0.33333333333333333333,0.50000000000000000000,0.50000000000000000000,0.33333333333333333333,0.09090909090909090909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,1,2,0,0,0
2026-01-30 00:00:00.000 +0000,Friday   ,00:26:41,26,Discount Disaster,stuck2,COMPLETED,0.44444444444444444444,0.50000000000000000000,0.66666666666666666667,0.20000000000000000000,0.18181818181818181818,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,2,0,0,0,0
2026-01-30 00:00:00.000 +0000,Friday   ,00:12:49,29,Too Good To Be True,utopkara,COMPLETED,0.33333333333333333333,1.00000000000000000000,0.50000000000000000000,0.26666666666666666667,0.09090909090909090909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,1,2,0,0,0
2026-02-02 00:00:00.000 +0000,Monday   ,00:19:14,31,Bezs Beatles Day!,lspesshardt,COMPLETED,0.55555555555555555556,1.00000000000000000000,0.66666666666666666667,0.33333333333333333333,0.18181818181818181818,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,1,0,0,0
2026-02-03 00:00:00.000 +0000,Tuesday  ,00:20:01,5,Bezs Beatles Day! V2,aho271,OUT_OF_TIME,0.44444444444444444444,0.50000000000000000000,0.00000000000000000000,0.13333333333333333333,0.09090909090909090909,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,1,0,0,0
2026-02-03 00:00:00.000 +0000,Tuesday  ,00:17:38,26,Discount Disaster,eschulman6,COMPLETED,0.55555555555555555556,0.50000000000000000000,0.50000000000000000000,0.53333333333333333333,0.18181818181818181818,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,2,0,0,0,0
2026-02-04 00:00:00.000 +0000,Wednesday,00:20:01,5,Bezs Beatles Day! V2,kdanjo,OUT_OF_TIME,0.22222222222222222222,0.00000000000000000000,0.00000000000000000000,0.13333333333333333333,0.09090909090909090909,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,1,0,0,0
2026-02-06 00:00:00.000 +0000,Friday   ,00:39:59,30,DEFCON 1,eschulman6,COMPLETED,0.66666666666666666667,0.50000000000000000000,0.50000000000000000000,0.53333333333333333333,0.27272727272727272727,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,1,2,2,2,2,0
2026-02-13 00:00:00.000 +0000,Friday   ,00:19:23,26,Discount Disaster Workshop,cflounders,COMPLETED,0.55555555555555555556,0.50000000000000000000,0.50000000000000000000,0.53333333333333333333,0.45454545454545454545,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,2,0,0,0,0
